Number of Trees,Train Accuracy,Test Accuracy
100,1.0,0.9649122807017544
200,1.0,0.9649122807017544
300,1.0,0.9649122807017544
400,1.0,0.9649122807017544
500,1.0,0.9649122807017544
600,1.0,0.9649122807017544
700,1.0,0.9649122807017544
800,1.0,0.9649122807017544
900,1.0,0.9649122807017544
1000,1.0,0.9649122807017544
1100,1.0,0.9649122807017544
